Task,Segment,Detected,Expected,% Missing
Baseline 1,1,87,87.37732779917938,0.004318371924197561
Baseline 1,2,87,87.9122217238928,0.010376506315104023
Baseline 1,3,89,87.81959774343869,0.0
Relaxation,1,86,87.45330772118386,0.016618098949638997
Relaxation,2,87,89.33284706596794,0.02611410184033703
Relaxation,3,87,85.99829941612954,0.0
Baseline 2,1,89,88.91929424393939,0.0
Baseline 2,2,87,87.22917862662374,0.002627316114080504
Baseline 2,3,88,87.46071507977831,0.0
Breathing,1,88,91.70491236215007,0.04040036969360018
Breathing,2,88,88.38358174755254,0.004339966088364168
Breathing,3,93,93.0177095631631,0.00019038915542280937
Baseline 3,1,91,91.4358270336374,0.004766479921235501
Baseline 3,2,89,89.9236855938164,0.010271883183132326
Baseline 3,3,87,85.38811514457377,0.0
