Segment #,Interval Start Time,Interval End Time,Time,Task,Mean HR,Mean IBI,# R Peaks
4,223,224,2022-10-17 13:39:42,Baseline 1,89.44405661791562,670.8103620155127,2
4,224,225,2022-10-17 13:39:43,Baseline 1,94.58177302719588,634.3716984745856,1
4,225,226,2022-10-17 13:39:44,Baseline 1,96.91925219811594,619.0720485270765,2
4,226,227,2022-10-17 13:39:45,Baseline 1,94.4195638529308,635.4615246206477,2
4,227,228,2022-10-17 13:39:46,Baseline 1,84.08517842887042,713.5621416413521,1
4,228,229,2022-10-17 13:39:47,Baseline 1,83.47984169615512,718.7363892996392,1
4,229,230,2022-10-17 13:39:48,Baseline 1,88.37372540858874,678.9348273210717,2
4,230,231,2022-10-17 13:39:49,Baseline 1,83.24423593320816,720.7706254657871,1
4,231,232,2022-10-17 13:39:50,Baseline 1,88.511982264138,677.8743223821114,2
4,232,233,2022-10-17 13:39:51,Baseline 1,96.41024055407969,622.3405278855623,1
4,233,234,2022-10-17 13:39:52,Baseline 1,95.15911542610412,630.5228850786559,2
4,234,235,2022-10-17 13:39:53,Baseline 1,86.2833256279857,695.3834887947249,1
4,235,236,2022-10-17 13:39:54,Baseline 1,77.36929648354074,775.5014292105419,2
4,236,237,2022-10-17 13:39:55,Baseline 1,73.77317010668528,813.3038056143237,1
4,237,238,2022-10-17 13:39:56,Baseline 1,77.46317246270492,774.5616154423232,1
4,238,239,2022-10-17 13:39:57,Baseline 1,89.79610792968897,668.180407629476,2
4,239,240,2022-10-17 13:39:58,Baseline 1,88.88274845721651,675.0466321243526,1
5,240,241,2022-10-17 13:39:59,Baseline 1,83.28529917571176,720.4152544786394,2
5,241,242,2022-10-17 13:40:00,Baseline 1,84.7212298144244,708.2050169883696,1
5,242,243,2022-10-17 13:40:01,Baseline 1,92.25965872285974,650.3384125908698,2
5,243,244,2022-10-17 13:40:02,Baseline 1,86.84270516717397,690.9043181519827,1
5,244,245,2022-10-17 13:40:03,Baseline 1,76.3668630862932,785.6810869945132,1
5,245,246,2022-10-17 13:40:04,Baseline 1,83.07026631726583,722.2800968380817,2
5,246,247,2022-10-17 13:40:05,Baseline 1,88.67270635605267,676.6456383893203,1
5,247,248,2022-10-17 13:40:06,Baseline 1,84.19679836195249,712.6161702974358,2
5,248,249,2022-10-17 13:40:07,Baseline 1,76.9205979325227,780.0251377743318,1
5,249,250,2022-10-17 13:40:08,Baseline 1,69.18470380288093,867.2437215450149,1
5,250,251,2022-10-17 13:40:09,Baseline 1,74.46912797281955,805.7030024831145,1
5,251,252,2022-10-17 13:40:10,Baseline 1,88.15721633888116,680.6022523369695,2
5,252,253,2022-10-17 13:40:11,Baseline 1,90.01895008013861,666.5263252524663,1
5,253,254,2022-10-17 13:40:12,Baseline 1,82.92399887023647,723.554107585802,2
5,254,255,2022-10-17 13:40:13,Baseline 1,85.66577651778864,700.3963827671707,1
5,255,256,2022-10-17 13:40:14,Baseline 1,92.89610871301618,645.8828128674143,2
5,256,257,2022-10-17 13:40:15,Baseline 1,85.03722409133954,705.5733608561029,1
5,257,258,2022-10-17 13:40:16,Baseline 1,78.62574520366057,763.1088245279561,1
5,258,259,2022-10-17 13:40:17,Baseline 1,80.860417972959,742.0194144935653,2
5,259,260,2022-10-17 13:40:18,Baseline 1,92.16589861751004,651.0000000000105,1
5,260,261,2022-10-17 13:40:19,Baseline 1,90.46852094111777,663.2141144327044,2
5,261,262,2022-10-17 13:40:20,Baseline 1,83.7109534641651,716.7520798300875,1
5,262,263,2022-10-17 13:40:21,Baseline 1,80.1334122967555,748.7513420469844,1
5,263,264,2022-10-17 13:40:22,Baseline 1,78.69556883001205,762.4317466921703,2
5,264,265,2022-10-17 13:40:23,Baseline 1,77.59097729318994,773.2857877698897,1
5,265,266,2022-10-17 13:40:24,Baseline 1,78.61385228317478,763.2242697365108,1
5,266,267,2022-10-17 13:40:25,Baseline 1,87.30588499835466,687.2388957643662,2
5,267,268,2022-10-17 13:40:26,Baseline 1,85.91748215625483,698.3444869913703,1
5,268,269,2022-10-17 13:40:27,Baseline 1,83.64629704572975,717.3061106004222,2
