Segment,Detected,Expected,% Missing
1,88,87.30588499835466,0.0
2,88,87.9235051024716,0.0
3,89,87.81959774343869,0.0
4,88,87.34937759336157,0.0
5,86,87.1231141599476,0.012891115874091709
6,89,87.73293172690737,0.0
7,89,88.02389074233595,0.0
8,90,89.030395136776,0.0
9,90,88.5754747518377,0.0
10,89,87.60696802206766,0.0
11,92,89.38078714921406,0.0
12,90,89.03387493148935,0.0
13,91,92.09388056034031,0.011877885410894315
14,93,92.57590132826229,0.0
15,93,91.20016680566418,0.0
16,93,90.9975214858076,0.0
17,89,88.61667744019717,0.0
18,69,87.06219311416962,0.2074631073270074
