Task,Segment,Detected,Expected,% Missing
Baseline 1,1,119,118.59867642943819,0.0
Baseline 1,2,125,123.19074318099513,0.0
Baseline 1,3,120,117.22423802612597,0.0
Breathing,1,116,115.20753527775962,0.0
Breathing,2,118,119.4526189868558,0.012160629035815766
Breathing,3,121,120.44649184975383,0.0
Baseline 2,1,121,122.5841142969667,0.012922671963261896
Baseline 2,2,117,117.88156328641286,0.007478381367160456
Baseline 2,3,118,115.64322951224544,0.0
Relaxation,1,113,111.881450151115,0.0
Relaxation,2,120,122.18883840196226,0.017913570753178603
Relaxation,3,130,128.26394533808272,0.0
Baseline 3,1,121,121.47506508807761,0.003910803321925856
Baseline 3,2,119,118.74027195765765,0.0
Baseline 3,3,111,117.51906609614926,0.055472412372777266
Baseline 3,4,44,14.917641980310023,0.0
