Segment,Detected,Expected,% Missing
1,114,112.72657363378536,0.0
2,108,106.13710282712171,0.0
3,108,106.17039504997658,0.0
4,104,101.21983832204448,0.0
5,104,102.85273821758841,0.0
6,102,101.08431713275326,0.0
7,106,103.48506497924785,0.0
8,105,104.00084104289375,0.0
9,106,98.13998142322747,0.0
10,96,95.30129707403427,0.0
11,97,95.79648196965078,0.0
12,103,101.43748480674087,0.0
13,102,99.8514890996987,0.0
14,103,100.72147736181925,0.0
15,102,99.86842105263283,0.0
16,108,104.90023474178358,0.0
17,104,102.50098672332275,0.0
18,109,106.45854145854682,0.0
19,93,106.91319891320117,0.1301354655424423
