Segment,Detected,Expected,% Missing
1,111,109.04506828953389,0.0
2,114,109.98588567395808,0.0
3,105,101.45274747680958,0.0
4,106,103.96002475475152,0.0
5,103,102.07052072840752,0.0
6,106,101.70549084858415,0.0
7,105,101.32654842974954,0.0
8,114,110.88714995816444,0.0
9,107,104.34517110967144,0.0
10,114,110.73279880664475,0.0
11,111,108.52014652014219,0.0
12,112,109.21654804957717,0.0
13,113,113.01944935590328,0.00017208857425972382
14,114,112.80788177339986,0.0
15,115,113.26451088004119,0.0
16,117,116.29862716972372,0.0
17,114,111.4044745424699,0.0
18,108,105.37000811988332,0.0
19,76,103.87366878628688,0.26834200728613034
