Segment #,Interval Start Time,Interval End Time,Time,Task,Mean HR,Mean IBI,# R Peaks
2,118,119,2022-10-14 14:49:25,Baseline 1,108.1406427221181,554.8330256754443,2
2,119,120,2022-10-14 14:49:26,Baseline 1,105.81296611480742,567.0382581932331,2
3,120,121,2022-10-14 14:49:27,Baseline 1,102.70392625867827,584.2035663649239,1
3,121,122,2022-10-14 14:49:28,Baseline 1,102.59669838358369,584.8141406624494,2
3,122,123,2022-10-14 14:49:29,Baseline 1,98.96827562681192,606.2548793539365,2
3,123,124,2022-10-14 14:49:30,Baseline 1,101.59820736016572,590.5616010260885,1
3,124,125,2022-10-14 14:49:31,Baseline 1,99.04290762241246,605.7980469307483,2
3,125,126,2022-10-14 14:49:32,Baseline 1,96.90567925944487,619.158757861471,2
3,126,127,2022-10-14 14:49:33,Baseline 1,102.99348040442123,582.5611462434312,1
3,127,128,2022-10-14 14:49:34,Baseline 1,97.79040077569424,613.5571541180652,2
3,128,129,2022-10-14 14:49:35,Baseline 1,100.08297282682173,599.5025757660178,2
3,129,130,2022-10-14 14:49:36,Baseline 1,103.30576112051212,580.8001349509109,1
3,130,131,2022-10-14 14:49:37,Baseline 1,103.88133294229758,577.5821150978866,2
3,131,132,2022-10-14 14:49:38,Baseline 1,111.5316205533609,537.9640294143646,2
3,132,133,2022-10-14 14:49:39,Baseline 1,114.80005299533995,522.6478423527867,2
3,133,134,2022-10-14 14:49:40,Baseline 1,116.62016793498597,514.4907700137177,2
3,134,135,2022-10-14 14:49:41,Baseline 1,116.00553038903824,517.2167206061894,2
3,135,136,2022-10-14 14:49:42,Baseline 1,110.63990152447556,542.2998319166699,2
3,136,137,2022-10-14 14:49:43,Baseline 1,100.70393793743052,595.8058962627584,1
3,137,138,2022-10-14 14:49:44,Baseline 1,106.70661160742516,562.289431705888,2
3,138,139,2022-10-14 14:49:45,Baseline 1,104.19766099939217,575.8286647178194,2
3,139,140,2022-10-14 14:49:46,Baseline 1,103.59056767938549,579.2033130439153,1
3,140,141,2022-10-14 14:49:47,Baseline 1,114.46133304561256,524.1944891214061,2
3,141,142,2022-10-14 14:49:48,Baseline 1,108.1217996352084,554.9297200234707,2
3,142,143,2022-10-14 14:49:49,Baseline 1,111.90916680581222,536.1491083577953,2
3,143,144,2022-10-14 14:49:50,Baseline 1,108.44611281240574,553.2701767170789,2
3,144,145,2022-10-14 14:49:51,Baseline 1,108.35797817683704,553.7201875627632,2
3,145,146,2022-10-14 14:49:52,Baseline 1,108.49420824009378,553.0249123273212,1
3,146,147,2022-10-14 14:49:53,Baseline 1,103.39901108780343,580.276342769369,2
3,147,148,2022-10-14 14:49:54,Baseline 1,110.74583093732012,541.7811171055168,2
3,148,149,2022-10-14 14:49:55,Baseline 1,102.78507078507238,583.7423620154171,2
3,149,150,2022-10-14 14:49:56,Baseline 1,98.63185883490469,608.3227134594637,1
3,150,151,2022-10-14 14:49:57,Baseline 1,109.04506828953389,550.2312111969101,2
3,151,152,2022-10-14 14:49:58,Baseline 1,109.05295066738559,550.1914403306849,2
3,152,153,2022-10-14 14:49:59,Baseline 1,105.50069864927819,568.7166129530698,2
3,153,154,2022-10-14 14:50:00,Baseline 1,106.70905889258343,562.276536056773,2
3,154,155,2022-10-14 14:50:01,Baseline 1,112.59716120310878,532.8731147294983,1
3,155,156,2022-10-14 14:50:02,Baseline 1,110.69184491978793,542.0453516108489,2
3,156,157,2022-10-14 14:50:03,Baseline 1,114.22165905196897,525.294418746807,2
3,157,158,2022-10-14 14:50:04,Baseline 1,116.02842482188306,517.1146647220876,2
3,158,159,2022-10-14 14:50:05,Baseline 1,115.32682233594583,520.2605845257804,2
3,159,160,2022-10-14 14:50:06,Baseline 1,120.3235027703621,498.65569584115457,2
3,160,161,2022-10-14 14:50:07,Baseline 1,114.10152600435987,525.8474807576839,2
3,161,162,2022-10-14 14:50:08,Baseline 1,117.78448096525891,509.40497006305344,2
3,162,163,2022-10-14 14:50:09,Baseline 1,119.3366350778596,502.77938506355406,2
3,163,164,2022-10-14 14:50:10,Baseline 1,116.14043170771056,516.6159546487771,2
