Segment,Detected,Expected,% Missing
1,71,70.49512942341916,0.0
2,70,68.60409603542482,0.0
3,70,66.65247290914212,0.0
4,71,70.16709022872293,0.0
5,75,72.6991416435911,0.0
6,72,70.40989294421077,0.0
7,70,70.1777396346306,0.0025327067465548375
8,72,71.80696885599862,0.0
9,71,70.0667850920654,0.0
10,73,71.0078534031468,0.0
11,75,73.54715911891165,0.0
12,70,67.07513296429168,0.0
13,71,69.34135036953707,0.0
14,73,69.69135156009823,0.0
15,85,84.60033230931592,0.0
16,80,79.06469671533793,0.0
17,74,73.49237664726712,0.0
18,51,72.31231930006868,0.29472598177401343
