Task,Segment,Detected,Expected,% Missing
Baseline 1,1,70,70.62786907458577,0.00888982044641217
Baseline 1,2,69,68.48492518086432,0.0
Baseline 1,3,70,66.65247290914212,0.0
Relaxation,1,73,71.89218401087068,0.0
Relaxation,2,71,69.94576383531668,0.0
Relaxation,3,73,71.09650670430632,0.0
Baseline 2,1,72,71.92102026710818,0.0
Baseline 2,2,71,70.91560232677554,0.0
Baseline 2,3,72,71.0078534031468,0.0
Breathing,1,68,65.61022520871103,0.0
Breathing,2,71,70.9796772619518,0.0
Breathing,3,74,70.95484461642219,0.0
Baseline 3,1,80,79.7735984873498,0.0
Baseline 3,2,75,75.4666100849716,0.006183000461346104
Baseline 3,3,73,72.10019571675363,0.0
