Segment #,Interval Start Time,Interval End Time,Time,Task,Mean HR,Mean IBI,# R Peaks
8,451,452,2022-10-11 12:39:36,Baseline 1,102.31081196216945,586.4482829262039,2
8,452,453,2022-10-11 12:39:37,Baseline 1,103.62490888264108,579.0113655776735,2
8,453,454,2022-10-11 12:39:38,Baseline 1,97.932681447061,612.665752774613,1
8,454,455,2022-10-11 12:39:39,Baseline 1,91.55921176646642,655.3136363060632,2
8,455,456,2022-10-11 12:39:40,Baseline 1,93.72421435040631,640.1760784644005,2
8,456,457,2022-10-11 12:39:41,Baseline 1,100.47787928441407,597.146361241992,1
8,457,458,2022-10-11 12:39:42,Baseline 1,101.5433954929508,590.8803788638843,2
8,458,459,2022-10-11 12:39:43,Baseline 1,103.18808977112803,581.4624549507647,2
8,459,460,2022-10-11 12:39:44,Baseline 1,103.63475277798861,578.9563673542494,1
8,460,461,2022-10-11 12:39:45,Baseline 1,98.74785591766559,607.6081292339862,2
8,461,462,2022-10-11 12:39:46,Baseline 1,96.67757774140603,620.619603859837,2
8,462,463,2022-10-11 12:39:47,Baseline 1,99.32913366798901,604.0523840724518,1
8,463,464,2022-10-11 12:39:48,Baseline 1,100.20591317532131,598.7670597345226,2
8,464,465,2022-10-11 12:39:49,Baseline 1,101.2356512773531,592.6765842165554,2
8,465,466,2022-10-11 12:39:50,Baseline 1,103.36067422398949,580.4915694529623,1
8,466,467,2022-10-11 12:39:51,Baseline 1,100.51242022389148,596.9411528082794,2
8,467,468,2022-10-11 12:39:52,Baseline 1,96.87424520438499,619.3596644124781,2
8,468,469,2022-10-11 12:39:53,Baseline 1,101.34753169378568,592.022311715353,1
8,469,470,2022-10-11 12:39:54,Baseline 1,99.96825344334518,600.1905398297639,2
8,470,471,2022-10-11 12:39:55,Baseline 1,96.14516500509774,624.0563422697202,2
8,471,472,2022-10-11 12:39:56,Baseline 1,101.89060415475807,588.866858703361,1
8,472,473,2022-10-11 12:39:57,Baseline 1,101.85082349971469,589.0968569357525,2
8,473,474,2022-10-11 12:39:58,Baseline 1,98.81146614842386,607.2169793521181,2
8,474,475,2022-10-11 12:39:59,Baseline 1,102.20291167455805,587.0674231968691,1
8,475,476,2022-10-11 12:40:00,Baseline 1,101.74121818150734,589.7314881070071,2
8,476,477,2022-10-11 12:40:01,Baseline 1,99.63037140460554,602.2259995030635,2
8,477,478,2022-10-11 12:40:02,Baseline 1,99.28627339358114,604.3131436926204,1
8,478,479,2022-10-11 12:40:03,Baseline 1,103.44304022256941,580.0293559712012,2
8,479,480,2022-10-11 12:40:04,Baseline 1,107.25567873231111,559.410939440774,2
9,480,481,2022-10-11 12:40:05,Baseline 1,106.10480108423104,565.4786530570765,2
9,481,482,2022-10-11 12:40:06,Baseline 1,98.73862369733803,607.6649415725813,1
9,482,483,2022-10-11 12:40:07,Baseline 1,102.19178159524371,587.1313628491683,2
9,483,484,2022-10-11 12:40:08,Baseline 1,105.20653574175729,570.3067739753124,2
9,484,485,2022-10-11 12:40:09,Baseline 1,105.9893048128367,566.094853683135,2
9,485,486,2022-10-11 12:40:10,Baseline 1,102.06081081080994,587.8848063555164,1
9,486,487,2022-10-11 12:40:11,Baseline 1,105.18300544360606,570.4343562627048,2
9,487,488,2022-10-11 12:40:12,Baseline 1,105.32162877176295,569.6835559771193,2
9,488,489,2022-10-11 12:40:13,Baseline 1,105.7294039969097,567.4864108924108,1
9,489,490,2022-10-11 12:40:14,Baseline 1,106.96830887164947,560.9137943088693,2
9,490,491,2022-10-11 12:40:15,Baseline 1,102.576038085161,584.9319306930787,2
