Task,Segment,Detected,Expected,% Missing
Baseline 1,1,104,103.40184082087163,0.0
Baseline 1,2,105,105.1736072150654,0.0016506728224163676
Baseline 1,3,105,102.52136752136671,0.0
Relaxation,1,110,109.79989145788326,0.0
Relaxation,2,104,104.35605224094982,0.0034118983355917454
Relaxation,3,111,109.3847708894872,0.0
Baseline 2,1,102,101.84519183036332,0.0
Baseline 2,2,105,104.87170885630651,0.0
Baseline 2,3,108,106.48062015502961,0.0
Breathing,1,103,102.89716193904366,0.0
Breathing,2,103,103.2420051557183,0.0023440571049863895
Breathing,3,104,102.7129059330649,0.0
Baseline 3,1,103,103.42614192642155,0.004120253530531114
Baseline 3,2,99,98.68210230252146,0.0
Baseline 3,3,103,101.41740226986511,0.0
