Segment,Detected,Expected,% Missing
1,106,103.44304022256942,0.0
2,107,105.16014234875368,0.0
3,105,102.52136752136671,0.0
4,111,109.05998421467916,0.0
5,109,107.15473062372722,0.0
6,108,107.25991425851232,0.0
7,111,109.63938793519313,0.0
8,110,110.12273383603349,0.0011145186080853521
9,105,103.18377850741567,0.0
10,107,104.81939448900302,0.0
11,107,106.48062015502961,0.0
12,103,102.56927309843162,0.0
13,104,102.93826153211059,0.0
14,104,102.56344218947086,0.0
15,107,104.88709207458834,0.0
16,103,102.04618574391345,0.0
17,101,98.88670405167005,0.0
18,94,101.55949947351286,0.07443419387355692
